stock code,industry_secondary,listing time,industry_primary
600801,化学原料和化学制品制造业,2009-04-27,科技
600812,化学原料和化学制品制造业,2009-05-12,科技
600829,化学原料和化学制品制造业,2009-06-01,科技
600837,化学原料和化学制品制造业,2009-06-12,科技
600844,化学原料和化学制品制造业,2009-06-23,科技
600853,化学原料和化学制品制造业,2009-07-07,科技
600862,化学原料和化学制品制造业,2009-07-20,科技
600875,化学原料和化学制品制造业,2009-08-04,科技
600884,化学原料和化学制品制造业,2009-08-18,科技
600893,化学原料和化学制品制造业,2009-09-01,科技
600900,电力、热力生产和供应业,2009-09-28,能源
600917,化学原料和化学制品制造业,2009-10-21,科技
600926,化学原料和化学制品制造业,2009-11-06,科技
600933,化学原料和化学制品制造业,2009-11-18,科技
600941,化学原料和化学制品制造业,2009-12-02,科技
600958,化学原料和化学制品制造业,2009-12-16,科技
600963,化学原料和化学制品制造业,2009-12-28,科技
600970,化学原料和化学制品制造业,2010-01-13,科技
600977,化学原料和化学制品制造业,2010-02-03,科技
600983,化学原料和化学制品制造业,2010-02-12,科技
600993,化学原料和化学制品制造业,2010-03-05,科技
601001,化学原料和化学制品制造业,2010-03-19,科技
601003,化学原料和化学制品制造业,2010-04-01,科技
601006,化学原料和化学制品制造业,2010-04-13,科技
601010,化学原料和化学制品制造业,2010-04-23,科技
601018,化学原料和化学制品制造业,2010-05-06,科技
601028,化学原料和化学制品制造业,2010-05-18,科技
601038,化学原料和化学制品制造业,2010-06-02,科技
601058,化学原料和化学制品制造业,2010-06-18,科技
601069,化学原料和化学制品制造业,2010-07-06,科技
601088,煤炭开采和洗选业,2007-02-26,能源
601101,化学原料和化学制品制造业,2010-08-18,科技
601117,化学原料和化学制品制造业,2010-09-08,科技
601137,化学原料和化学制品制造业,2010-09-28,科技
601166,化学原料和化学制品制造业,2010-10-20,科技
601188,化学原料和化学制品制造业,2010-11-03,科技
601211,化学原料和化学制品制造业,2010-11-18,科技
601231,化学原料和化学制品制造业,2010-12-03,科技
601258,化学原料和化学制品制造业,2010-12-17,科技
601318,保险,2007-01-09,金融
601328,货币金融服务,2007-07-05,金融
601336,电气机械和器材制造业,2010-12-27,新能源
601369,化学原料和化学制品制造业,2011-01-18,科技
601377,化学原料和化学制品制造业,2011-02-11,科技
601398,货币金融服务,2007-09-25,金融
601456,化学原料和化学制品制造业,2011-03-10,科技
601519,住宿业,2007-11-29,消费
601555,化学原料和化学制品制造业,2011-04-22,科技
601600,有色金属冶炼和压延加工业,2007-04-30,有色金属
601601,化学原料和化学制品制造业,2011-05-18,科技
601607,化学原料和化学制品制造业,2011-06-21,科技
601611,化学原料和化学制品制造业,2011-07-15,科技
601633,化学原料和化学制品制造业,2011-08-03,科技
601666,煤炭开采和洗选业,2006-11-23,能源
601688,资本市场服务,2007-01-19,金融
601717,化学原料和化学制品制造业,2011-09-28,科技
601727,化学原料和化学制品制造业,2011-10-18,科技
601768,化学原料和化学制品制造业,2011-11-03,科技
601788,化学原料和化学制品制造业,2011-11-16,科技
601818,货币金融服务,2007-07-19,金融
601857,石油和天然气开采业,2007-11-05,能源
601866,化学原料和化学制品制造业,2011-12-22,科技
601877,化学原料和化学制品制造业,2012-01-19,科技
601888,商务服务业,2007-02-05,消费
601901,化学原料和化学制品制造业,2012-02-27,科技
601919,水上运输业,2007-03-06,消费
601933,化学原料和化学制品制造业,2012-03-29,科技
601958,化学原料和化学制品制造业,2012-04-23,科技
601965,化学原料和化学制品制造业,2012-05-18,科技
601988,货币金融服务,2007-09-21,金融
601998,邮政业,2010-01-28,消费
603000,化学原料和化学制品制造业,2012-06-18,科技
603001,化学原料和化学制品制造业,2012-07-06,科技
603019,化学原料和化学制品制造业,2012-08-01,科技
603022,化学原料和化学制品制造业,2012-08-03,科技
    
